item_id,date,item_name,category,price,currency,camel_url,shopbot_url,merchant,source,source_ref
apple_airpods_pro,2025-03-20,Apple AirPods Pro (2nd Gen),audio,172.0,USD,https://camelcamelcamel.com/product/B0XXXXX3,,,camelcamelcamel_injection,https://camelcamelcamel.com/product/B0XXXXX3
apple_airpods_pro,2026-01-15,Apple AirPods Pro (2nd Gen),audio,184.99,USD,,,Amazon,shopbot_injection,shopbot_injection.csv
apple_airpods_pro,2026-02-20,Apple AirPods Pro (2nd Gen),audio,178.99,USD,,,Amazon,shopbot_injection,shopbot_injection.csv
apple_airpods_pro,2026-03-31,Apple AirPods Pro (2nd Gen),audio,169.99,USD,,,Amazon,shopbot_injection,shopbot_injection.csv
fire_tv_stick,2024-01-01,Amazon Fire TV Stick 4K,smart_home,59.99,USD,,,,sample_seed,sample_price_history.csv
fire_tv_stick,2024-06-01,Amazon Fire TV Stick 4K,smart_home,54.99,USD,,,,sample_seed,sample_price_history.csv
fire_tv_stick,2024-07-15,Amazon Fire TV Stick 4K,smart_home,49.99,USD,,,,sample_seed,sample_price_history.csv
fire_tv_stick,2024-11-25,Amazon Fire TV Stick 4K,smart_home,39.99,USD,,,,sample_seed,sample_price_history.csv
fire_tv_stick,2025-01-10,Amazon Fire TV Stick 4K,smart_home,44.99,USD,,,,sample_seed,sample_price_history.csv
fire_tv_stick,2025-02-14,Amazon Fire TV Stick 4K,smart_home,42.99,USD,https://camelcamelcamel.com/product/B0XXXXX2,,,camelcamelcamel_injection,https://camelcamelcamel.com/product/B0XXXXX2
fire_tv_stick,2025-03-20,Amazon Fire TV Stick 4K,smart_home,38.99,USD,https://camelcamelcamel.com/product/B0XXXXX2,,,camelcamelcamel_injection,https://camelcamelcamel.com/product/B0XXXXX2
fire_tv_stick,2026-01-15,Amazon Fire TV Stick 4K,smart_home,45.99,USD,,,Amazon,shopbot_injection,shopbot_injection.csv
fire_tv_stick,2026-02-20,Amazon Fire TV Stick 4K,smart_home,41.99,USD,,,Amazon,shopbot_injection,shopbot_injection.csv
fire_tv_stick,2026-03-31,Amazon Fire TV Stick 4K,smart_home,37.49,USD,,,Amazon,shopbot_injection,shopbot_injection.csv
kindle_paperwhite,2024-01-01,Amazon Kindle Paperwhite,e-reader,139.99,USD,,,,sample_seed,sample_price_history.csv
kindle_paperwhite,2024-08-01,Amazon Kindle Paperwhite,e-reader,129.99,USD,,,,sample_seed,sample_price_history.csv
kindle_paperwhite,2024-11-25,Amazon Kindle Paperwhite,e-reader,109.99,USD,,,,sample_seed,sample_price_history.csv
kindle_paperwhite,2025-01-10,Amazon Kindle Paperwhite,e-reader,114.99,USD,,,,sample_seed,sample_price_history.csv
kindle_paperwhite,2025-02-14,Amazon Kindle Paperwhite,e-reader,112.99,USD,https://camelcamelcamel.com/product/B0XXXXX4,,,camelcamelcamel_injection,https://camelcamelcamel.com/product/B0XXXXX4
kindle_paperwhite,2025-03-20,Amazon Kindle Paperwhite,e-reader,104.99,USD,https://camelcamelcamel.com/product/B0XXXXX4,,,camelcamelcamel_injection,https://camelcamelcamel.com/product/B0XXXXX4
kindle_paperwhite,2026-01-15,Amazon Kindle Paperwhite,e-reader,119.99,USD,,,Amazon,shopbot_injection,shopbot_injection.csv
kindle_paperwhite,2026-02-20,Amazon Kindle Paperwhite,e-reader,109.99,USD,,,Amazon,shopbot_injection,shopbot_injection.csv
kindle_paperwhite,2026-03-31,Amazon Kindle Paperwhite,e-reader,99.99,USD,,,Amazon,shopbot_injection,shopbot_injection.csv
